date,ts,team_a,team_b,target,elo_diff,form_diff,h2h_diff,rounddiff_diff,event
2025-04-08,1744111800,G2 Esports,Complexity,1,27.72,0.5,0.0,2.167,PGL/2025/Bucharest
2025-04-08,1744116000,Team Falcons,PaiN Gaming,1,-3.52,0.0,-0.5,-0.167,PGL/2025/Bucharest
2025-04-08,1744123800,Aurora Gaming,3DMAX,0,13.08,0.4286,0.0,1.5,PGL/2025/Bucharest
2025-04-08,1744128000,The MongolZ,Team Liquid,1,43.72,0.6,0.0,2.4,PGL/2025/Bucharest
2025-04-09,1744182000,GamerLegion,Virtus.pro,1,15.23,0.1667,0.0,0.083,PGL/2025/Bucharest
2025-04-09,1744182000,Astralis,Legacy,1,15.3,0.1667,0.0,0.458,PGL/2025/Bucharest
2025-04-09,1744190100,Complexity,FaZe Clan,1,-70.14,-0.4048,0.0,-1.619,PGL/2025/Bucharest
2025-04-09,1744196100,Rare Atom,Team Falcons,0,-26.49,-0.2381,0.0,-0.667,PGL/2025/Bucharest
2025-04-09,1744197900,Aurora Gaming,Betclic Apogee Esports,1,-1.91,0.0,0.0,0.0,PGL/2025/Bucharest
2025-04-09,1744203000,FURIA,The MongolZ,0,-42.96,-0.3333,0.0,-1.0,PGL/2025/Bucharest
2025-04-10,1744268400,Astralis,Virtus.pro,0,27.97,0.1111,0.0,0.222,PGL/2025/Bucharest
2025-04-10,1744276200,Betclic Apogee Esports,FaZe Clan,0,-37.86,-0.2143,0.0,-0.857,PGL/2025/Bucharest
2025-04-10,1744283400,Team Falcons,The MongolZ,1,-12.36,-0.0893,0.0,-0.607,PGL/2025/Bucharest
2025-06-03,1748964000,HEROIC,Chinggis Warriors,1,0.0,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-03,1748964600,Complexity,OG,0,8.71,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-03,1748967300,B8,Imperial Esports,1,0.0,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-03,1748968200,BetBoom Team,Nemiga Gaming,1,0.0,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-03,1748972400,TYLOO,NRG,0,0.0,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-03,1748972700,Lynn Vision Gaming,Legacy,1,31.17,0.25,0.0,0.5,BLAST/Major/2025/Austin
2025-06-03,1748975400,Wildcard,Metizport,1,-32.0,-0.25,0.0,-0.75,BLAST/Major/2025/Austin
2025-06-03,1748976600,FlyQuest,Fluxo,1,-48.0,-0.5,0.0,-1.333,BLAST/Major/2025/Austin
2025-06-03,1748982900,HEROIC,NRG,1,0.0,0.0,0.0,-2.0,BLAST/Major/2025/Austin
2025-06-03,1748982900,B8,OG,1,-0.4,0.0,0.0,-8.0,BLAST/Major/2025/Austin
2025-06-03,1748985900,Lynn Vision Gaming,Wildcard,0,29.1,0.6,0.0,4.2,BLAST/Major/2025/Austin
2025-06-03,1748986800,BetBoom Team,FlyQuest,0,45.8,0.75,0.0,5.5,BLAST/Major/2025/Austin
2025-06-03,1748990100,Complexity,Fluxo,1,10.51,0.4444,0.0,4.889,BLAST/Major/2025/Austin
2025-06-03,1748991300,Chinggis Warriors,Legacy,0,29.74,-0.2,0.0,-4.4,BLAST/Major/2025/Austin
2025-06-03,1748994000,Imperial Esports,Nemiga Gaming,0,0.0,0.0,0.0,4.0,BLAST/Major/2025/Austin
2025-06-04,1748996100,TYLOO,Metizport,1,1.47,0.0,0.0,4.0,BLAST/Major/2025/Austin
2025-06-04,1749049200,BetBoom Team,Legacy,1,26.28,0.1667,0.0,0.333,BLAST/Major/2025/Austin
2025-06-04,1749049200,NRG,Complexity,1,-7.83,0.0,0.0,0.6,BLAST/Major/2025/Austin
2025-06-04,1749052500,OG,TYLOO,1,0.45,0.0,0.0,2.5,BLAST/Major/2025/Austin
2025-06-04,1749052800,Lynn Vision Gaming,Nemiga Gaming,0,-2.77,0.0,0.0,3.0,BLAST/Major/2025/Austin
2025-06-04,1749055500,HEROIC,FlyQuest,1,43.71,0.6,0.0,5.2,BLAST/Major/2025/Austin
2025-06-04,1749056400,B8,Wildcard,1,29.21,0.5,0.0,1.167,BLAST/Major/2025/Austin
2025-06-04,1749066300,Imperial Esports,Metizport,1,1.4,0.0,0.0,7.5,BLAST/Major/2025/Austin
2025-06-04,1749067200,Chinggis Warriors,Fluxo,1,0.35,0.0,0.0,0.5,BLAST/Major/2025/Austin
2025-06-05,1749135600,Imperial Esports,Legacy,0,27.1,0.0476,0.0,0.81,BLAST/Major/2025/Austin
2025-06-05,1749135600,Complexity,TYLOO,0,7.51,0.1667,0.0,1.867,BLAST/Major/2025/Austin
2025-06-05,1749143400,OG,NRG,1,0.0,0.0,0.0,3.667,BLAST/Major/2025/Austin
2025-06-05,1749144600,Lynn Vision Gaming,Chinggis Warriors,1,-1.26,0.0,0.0,3.0,BLAST/Major/2025/Austin
2025-06-05,1749149400,BetBoom Team,Wildcard,1,24.55,0.2381,0.0,1.571,BLAST/Major/2025/Austin
2025-06-05,1749157200,FlyQuest,Nemiga Gaming,0,-41.58,-0.3333,0.0,1.0,BLAST/Major/2025/Austin
2025-06-06,1749222000,NRG,Lynn Vision Gaming,0,2.94,0.0,0.0,0.0,BLAST/Major/2025/Austin
2025-06-06,1749233100,Wildcard,Legacy,0,-0.8,0.0,0.0,2.75,BLAST/Major/2025/Austin
2025-06-06,1749241200,FlyQuest,TYLOO,0,-40.1,-0.2143,0.0,2.357,BLAST/Major/2025/Austin
2025-06-07,1749308400,Team Falcons,B8,0,-3.41,-0.3333,0.0,-2.0,BLAST/Major/2025/Austin
2025-06-07,1749308400,FaZe Clan,HEROIC,1,8.74,-0.25,0.0,-4.0,BLAST/Major/2025/Austin
2025-06-07,1749311100,Virtus.pro,OG,1,-28.33,-0.25,0.0,-4.05,BLAST/Major/2025/Austin
2025-06-07,1749312000,3DMAX,BetBoom Team,1,9.35,-0.125,0.0,-2.625,BLAST/Major/2025/Austin
2025-06-07,1749314100,FURIA,Lynn Vision Gaming,1,-45.53,-0.35,0.0,-1.55,BLAST/Major/2025/Austin
2025-06-07,1749315300,PaiN Gaming,Nemiga Gaming,1,-46.86,-0.3214,0.0,-0.893,BLAST/Major/2025/Austin
2025-06-07,1749317400,MIBR,Legacy,0,-22.04,-0.1944,0.0,0.583,BLAST/Major/2025/Austin
2025-06-07,1749318900,M80,TYLOO,0,-14.46,-0.1,0.0,1.0,BLAST/Major/2025/Austin
2025-06-07,1749324600,Virtus.pro,B8,1,-41.18,-0.4,0.0,-1.6,BLAST/Major/2025/Austin
2025-06-07,1749324600,PaiN Gaming,FURIA,1,15.14,0.1,0.0,-0.575,BLAST/Major/2025/Austin
2025-06-07,1749327600,3DMAX,Legacy,0,47.46,0.1667,0.0,2.011,BLAST/Major/2025/Austin
2025-06-07,1749328800,FaZe Clan,TYLOO,1,40.54,0.1111,0.0,2.167,BLAST/Major/2025/Austin
