date,ts,team_a,team_b,score_a,score_b,winner,event
2025-04-09,1744197900,Aurora Gaming,Betclic Apogee Esports,2,0,Aurora Gaming,PGL/2025/Bucharest
2025-04-09,1744203000,FURIA,The MongolZ,0,2,The MongolZ,PGL/2025/Bucharest
2025-04-10,1744268400,Astralis,Virtus.pro,0,2,Virtus.pro,PGL/2025/Bucharest
2025-04-10,1744276200,Betclic Apogee Esports,FaZe Clan,0,2,FaZe Clan,PGL/2025/Bucharest
2025-04-10,1744283400,Team Falcons,The MongolZ,2,1,Team Falcons,PGL/2025/Bucharest
2025-06-03,1748964000,HEROIC,Chinggis Warriors,13,7,HEROIC,BLAST/Major/2025/Austin
2025-06-03,1748964600,Complexity,OG,3,13,OG,BLAST/Major/2025/Austin
2025-06-03,1748967300,B8,Imperial Esports,13,11,B8,BLAST/Major/2025/Austin
2025-06-03,1748968200,BetBoom Team,Nemiga Gaming,13,7,BetBoom Team,BLAST/Major/2025/Austin
2025-06-03,1748972400,TYLOO,NRG,5,13,NRG,BLAST/Major/2025/Austin
2025-06-03,1748972700,Lynn Vision Gaming,Legacy,13,7,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-03,1748975400,Wildcard,Metizport,13,1,Wildcard,BLAST/Major/2025/Austin
2025-06-03,1748976600,FlyQuest,Fluxo,13,7,FlyQuest,BLAST/Major/2025/Austin
2025-06-03,1748982900,HEROIC,NRG,13,5,HEROIC,BLAST/Major/2025/Austin
2025-06-03,1748982900,B8,OG,13,9,B8,BLAST/Major/2025/Austin
2025-06-03,1748985900,Lynn Vision Gaming,Wildcard,17,19,Wildcard,BLAST/Major/2025/Austin
2025-06-03,1748986800,BetBoom Team,FlyQuest,6,13,FlyQuest,BLAST/Major/2025/Austin
2025-06-03,1748990100,Complexity,Fluxo,13,9,Complexity,BLAST/Major/2025/Austin
2025-06-03,1748991300,Chinggis Warriors,Legacy,10,13,Legacy,BLAST/Major/2025/Austin
2025-06-03,1748994000,Imperial Esports,Nemiga Gaming,9,13,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-04,1748996100,TYLOO,Metizport,13,4,TYLOO,BLAST/Major/2025/Austin
2025-06-04,1749049200,BetBoom Team,Legacy,13,3,BetBoom Team,BLAST/Major/2025/Austin
